Race,Batch_ID,New_Dem_Prop,New_Total,Votes_Remaining,D,Total Votes Cast
CD-47,23,0.5,832.0,396,181501,352879
CD-22,23,0.46229508196721314,1220.0,114,77971,167393
SD-19,23,0.46539379474940334,419.0,1737,172588,381293
CD-13,23,0.5656565656565656,2376.0,3446,103790,207475
CD-45,23,0.5248447204968945,644.0,568,157960,315307
AD-58,23,0.46116504854368934,412.0,860,77264,155128
SD-37,23,0.5303550973654066,873.0,757,225882,457858
CD-41,23,0.4318181818181818,660.0,1433,170596,353012
CD-49,23,0.38866396761133604,247.0,1737,196569,376610
CD-40,23,0.49146757679180886,586.0,713,171294,382922
CD-9,23,0.0,5.0,8650,125773,242707
CD-45,24,0.4721311475409836,305.0,263,158104,315612
SD-19,24,0.3986636971046771,1347.0,390,173125,382640
CD-40,24,0.4946808510638298,564.0,149,171573,383486
CD-9,24,0.46497437149133514,4097.0,4553,127678,246804
SD-5,24,0.43468847726726006,4157.0,4868,187213,353936
CD-22,24,0.25,16.0,98,77975,167409
CD-13,24,0.5183426845058265,2317.0,1129,104991,209792
CD-21,24,0.5288147879666546,2759.0,2354,101409,193177
CD-41,24,0.4265536723163842,708.0,725,170898,353720
CD-47,24,0.555956678700361,277.0,119,181655,353156
SD-37,24,0.5094664371772806,581.0,176,226178,458439
AD-58,24,0.45176470588235296,425.0,435,77456,155553
CD-49,24,0.47896440129449835,1545.0,192,197309,378155
CD-13,25,0.6258503401360545,147.0,982,105083,209939
CD-9,25,0.5540448674371176,1471.0,3082,128493,248275
SD-5,25,0.5200250312891114,1598.0,3270,188044,355534
CD-22,26,0.6666666666666666,9.0,89,77981,167418
CD-9,26,0.5487329434697856,3078.0,4,130182,251353
AD-58,26,0.5702917771883289,377.0,58,77671,155930
CD-49,26,0.3888888888888889,18.0,174,197316,378173
CD-40,26,0.4266666666666667,75.0,74,171605,383561
CD-47,26,0.6290322580645161,62.0,57,181694,353218
CD-45,26,0.5725190839694656,131.0,132,158179,315743
SD-37,26,0.49473684210526314,95.0,81,226225,458534
SD-5,26,0.4960605105578317,3173.0,97,189618,358707
SD-19,26,0.48951048951048953,143.0,247,173195,382783
CD-13,26,0.42758620689655175,580.0,402,105331,210519
CD-41,26,0.4613050075872534,659.0,66,171202,354379
SD-37,27,0.5555555555555556,81.0,0,226270,458615
CD-47,27,0.47368421052631576,57.0,0,181721,353275
CD-9,27,0.25,4.0,0,130183,251357
CD-49,27,0.46551724137931033,174.0,0,197397,378347
SD-5,27,0.5154639175257731,97.0,0,189668,358804
CD-40,27,0.43243243243243246,74.0,0,171637,383635
CD-22,27,0.47191011235955055,89.0,0,78023,167507
CD-45,27,0.6439393939393939,132.0,0,158264,315875
CD-21,27,0.5900594732370433,2354.0,0,102798,195531
SD-19,27,0.38866396761133604,247.0,0,173291,383030
CD-13,27,0.554726368159204,402.0,0,105554,210921
CD-41,27,0.4090909090909091,66.0,0,171229,354445
AD-58,27,0.43103448275862066,58.0,0,77696,155988
