Race,race_id,batch_id,Batch Number,Datetime,baseline_dem_votes,baseline_total_votes,baseline_dem_proportion,this_batch_dem_votes,this_batch_total_votes,this_batch_dem_proportion,up_to_this_batch_dem_votes,up_to_this_batch_total_votes,up_to_this_batch_dem_proportion,up_to_this_batch_no_baseline_dem_votes,up_to_this_batch_no_baseline_total_votes,up_to_this_batch_no_baseline_dem_proportion,final_dem_votes,final_total_votes,final_dem_proportion
CD-27,2,8,10,2022-11-28,61342,137545,0.4459776800319895,0.0,0.0,,91669,196102,0.4674557118234388,30327,58557,0.517905630411394,91892,196516,0.4676056911396527
CD-27,2,9,11,2022-11-29,61342,137545,0.4459776800319895,0.0,0.0,,91669,196102,0.4674557118234388,30327,58557,0.517905630411394,91892,196516,0.4676056911396527
CD-27,2,10,12,2022-11-30,61342,137545,0.4459776800319895,113.0,216.0,0.5231481481481481,91782,196318,0.46751698774437395,30440,58773,0.5179248974869413,91892,196516,0.4676056911396527
CD-27,2,11,13,2022-12-01,61342,137545,0.4459776800319895,0.0,0.0,,91782,196318,0.46751698774437395,30440,58773,0.5179248974869413,91892,196516,0.4676056911396527
CD-27,2,12,14,2022-12-02,61342,137545,0.4459776800319895,0.0,0.0,,91782,196318,0.46751698774437395,30440,58773,0.5179248974869413,91892,196516,0.4676056911396527
CD-27,2,13,15,2022-12-05,61342,137545,0.4459776800319895,59.0,90.0,0.6555555555555556,91841,196408,0.4676031526210745,30499,58863,0.5181353311927697,91892,196516,0.4676056911396527
CD-27,2,14,16,2022-12-06,61342,137545,0.4459776800319895,51.0,108.0,0.4722222222222222,91892,196516,0.4676056911396527,30550,58971,0.5180512455274626,91892,196516,0.4676056911396527
CD-3,3,0,2,2022-11-15,79188,168338,0.4704107212869346,407.0,982.0,0.41446028513238287,79595,169320,0.4700862272619891,407,982,0.41446028513238287,156761,338199,0.46351704174169645
CD-3,3,1,3,2022-11-16,79188,168338,0.4704107212869346,6095.0,12704.0,0.47977015113350124,85690,182024,0.4707620973058498,6502,13686,0.4750840274733304,156761,338199,0.46351704174169645
CD-3,3,2,4,2022-11-17,79188,168338,0.4704107212869346,5464.0,9100.0,0.6004395604395605,91154,191124,0.47693643917038153,11966,22786,0.5251470201000614,156761,338199,0.46351704174169645
CD-3,3,3,5,2022-11-18,79188,168338,0.4704107212869346,1794.0,4251.0,0.42201834862385323,92948,195375,0.4757415227127319,13760,27037,0.5089322040167178,156761,338199,0.46351704174169645
CD-3,3,4,6,2022-11-21,79188,168338,0.4704107212869346,20521.0,41638.0,0.492843076036313,113469,237013,0.4787458915755676,34281,68675,0.4991772843101565,156761,338199,0.46351704174169645
CD-3,3,5,7,2022-11-22,79188,168338,0.4704107212869346,649.0,1501.0,0.4323784143904064,114118,238514,0.47845409493782337,34930,70176,0.4977485180118559,156761,338199,0.46351704174169645
CD-3,3,6,8,2022-11-23,79188,168338,0.4704107212869346,18458.0,42165.0,0.4377564330605953,132576,280679,0.47234028908468395,53388,112341,0.47523166074718937,156761,338199,0.46351704174169645
CD-3,3,7,9,2022-11-24,79188,168338,0.4704107212869346,4433.0,12799.0,0.3463551839987499,137009,293478,0.46684589645561164,57821,125140,0.4620505034361515,156761,338199,0.46351704174169645
CD-3,3,8,10,2022-11-28,79188,168338,0.4704107212869346,0.0,0.0,,137009,293478,0.46684589645561164,57821,125140,0.4620505034361515,156761,338199,0.46351704174169645
CD-3,3,9,11,2022-11-29,79188,168338,0.4704107212869346,0.0,0.0,,137009,293478,0.46684589645561164,57821,125140,0.4620505034361515,156761,338199,0.46351704174169645
CD-3,3,10,12,2022-11-30,79188,168338,0.4704107212869346,16932.0,38485.0,0.4399636221904638,153941,331963,0.46372939152857395,74753,163625,0.45685561497326205,156761,338199,0.46351704174169645
CD-3,3,11,13,2022-12-01,79188,168338,0.4704107212869346,13.0,49.0,0.2653061224489796,153954,332012,0.46370010722504007,74766,163674,0.4567982697312951,156761,338199,0.46351704174169645
CD-3,3,12,14,2022-12-02,79188,168338,0.4704107212869346,14.0,21.0,0.6666666666666666,153968,332033,0.4637129441953059,74780,163695,0.4568251931946608,156761,338199,0.46351704174169645
CD-3,3,13,15,2022-12-05,79188,168338,0.4704107212869346,1799.0,4025.0,0.4469565217391304,155767,336058,0.4635122508614584,76579,167720,0.45658836155497257,156761,338199,0.46351704174169645
CD-3,3,14,16,2022-12-06,79188,168338,0.4704107212869346,0.0,0.0,,155767,336058,0.4635122508614584,76579,167720,0.45658836155497257,156761,338199,0.46351704174169645
